         654801 function calls (647944 primitive calls) in 280.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.003    0.001    0.790    0.395 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6435(drop_duplicates)
       10    0.018    0.002    0.757    0.076 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:290(indexer_from_factorized)
       20    0.092    0.005    0.747    0.037 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1600(_cumcount_array)
       35    0.001    0.000    0.739    0.021 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/arrays/categorical.py:359(__init__)
       18    0.005    0.000    0.694    0.039 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/sorting.py:673(compress_group_index)
        2    0.023    0.011    0.648    0.324 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6532(duplicated)
       31    0.000    0.000    0.634    0.020 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:871(group_info)
       31    0.001    0.000    0.633    0.020 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/ops.py:886(_get_compressed_codes)
        4    0.000    0.000    0.621    0.155 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/generic.py:3832(take)
       10    0.002    0.000    0.607    0.061 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:3904(head)
       49    0.000    0.000    0.607    0.012 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:669(codes)
       37    0.000    0.000    0.607    0.016 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:722(_codes_and_uniques)
       15    0.004    0.000    0.574    0.038 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/groupby/indexing.py:228(_ascending_count)
        9    0.000    0.000    0.509    0.057 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6629(f)
      200    0.442    0.002    0.442    0.002 {method 'argsort' of 'numpy.ndarray' objects}
