Director,First Average Rating,Last Average Rating,Career Progression Rating
Johannes Roberts,2.4,5.0,2.6
Damian Lee,2.9,5.5,2.6
Rob Spera,3.6,6.2,2.6
Michael Herbig,4.9,7.5,2.5999999999999996
Theodore Melfi,5.2,7.8,2.5999999999999996
Craig McMahon,4.6000000000000005,7.2,2.5999999999999996
Kunal v Singh,5.2,7.8,2.5999999999999996
John Grooters,4.4,7.0,2.5999999999999996
Samar Khan,4.7,7.3,2.5999999999999996
Terry McMahon,5.5,8.1,2.5999999999999996
Stewart Sugg,4.4,7.0,2.5999999999999996
Donna Deitch,4.7,7.3,2.5999999999999996
Simon Hung,2.7000000000000006,5.3,2.599999999999999
Renato Siqueira,3.7000000000000006,6.3,2.599999999999999
Andrey Volgin,4.0,6.599999999999999,2.5999999999999988
Sean Baker,5.0,7.599999999999999,2.5999999999999988
Angelina Jolie,4.633333333333333,7.2,2.5666666666666673
Jacob Kornbluth,5.1,7.666666666666667,2.5666666666666673
Jeong-gyun Shin,5.133333333333333,7.7,2.5666666666666673
Lee Cipolla,3.233333333333333,5.8,2.566666666666667
Mahdi Golestaneh,2.6333333333333333,5.2,2.566666666666667
Uwe Boll,2.1333333333333333,4.7,2.566666666666667
Pepe Danquart,4.433333333333334,7.0,2.5666666666666664
Nikoloz Khomasuridze,5.0,7.566666666666666,2.5666666666666664
Lâm Lê,4.0,6.533333333333334,2.533333333333334
Rene Daalder,4.833333333333333,7.366666666666667,2.533333333333334
John Wesley Norton,4.0,6.533333333333334,2.533333333333334
Alan Smithee,3.2999999999999994,5.833333333333333,2.5333333333333337
Sang-hoon Choi,3.7999999999999994,6.333333333333333,2.5333333333333337
Raúl Marchand Sánchez,5.2,7.733333333333333,2.533333333333333
Vasiliy Chiginskiy,3.766666666666667,6.3,2.5333333333333328
Faruk Aksoy,2.766666666666667,5.3,2.5333333333333328
Kimon Tsakiris,6.400000000000001,8.933333333333334,2.5333333333333323
Leonidas Zegarra,5.533333333333334,8.066666666666666,2.5333333333333323
Zübeyr Sasmaz,3.9,6.400000000000001,2.5000000000000013
Kit Ryan,5.599999999999999,8.1,2.500000000000001
Stéphanie Pillonca,4.9,7.400000000000001,2.500000000000001
Patrick Garcia,4.9,7.400000000000001,2.500000000000001
Gary Wheeler,3.7999999999999994,6.3,2.5000000000000004
Olatunde Osunsanmi,2.7999999999999994,5.3,2.5000000000000004
Les Mahoney,3.7999999999999994,6.3,2.5000000000000004
Troy Byer,3.7999999999999994,6.3,2.5000000000000004
Glenn Withrow,4.5,7.0,2.5
Kannan Thamarakkulam,3.5,6.0,2.5
Oleksandr Berezan,4.0,6.5,2.5
David Lee Miller,4.5,7.0,2.5
Eliav Lilti,5.3,7.8,2.5
Peter Svatek,4.2,6.7,2.5
Paul-Anders Simma,5.3,7.8,2.5
Daniel Fahre,5.2,7.7,2.5
Denis Delic,3.0,5.5,2.5
