Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Ron Shelton,5315990,2507166,-2808824
Abel Ferrara,3136827,303857,-2832970
Lasse Hallström,11371574,8361910,-3009664
John Lee Hancock,18318378,15142600,-3175778
Gregory Hoblit,17060722,13656768,-3403954
Stephen Herek,5636656,2208525,-3428131
Andrew Fleming,5538794,2018084,-3520710
Gaspar Noé,9648944,6123910,-3525034
David Dobkin,20581872,17016249,-3565623
Takashi Shimizu,5284855,1685051,-3599804
Roger Spottiswoode,7784483,4177072,-3607411
Brian Levant,6826395,3197536,-3628859
Nick Cassavetes,15517185,11847092,-3670093
Rob Cohen,7246870,3511300,-3735570
James Ivory,4489685,739175,-3750510
Hideo Nakata,4073930,251459,-3822471
David Koepp,11347126,7492584,-3854542
Peter Segal,7830976,3741323,-4089653
Bernard Rose,4489916,277683,-4212233
John Stockwell,5043645,778880,-4264765
Frank Coraci,14235484,9942845,-4292639
Victor Salva,6827646,2426591,-4401055
Neil Burger,33975126,29411448,-4563678
Mike Figgis,5549502,971443,-4578059
John Madden,11531853,6921220,-4610633
Gus Van Sant,7747216,2972926,-4774290
Emir Kusturica,5537796,720350,-4817446
David R. Ellis,12262130,7371340,-4890790
Christopher Nolan,71464048,66325382,-5138666
Paul W.S. Anderson,13810954,8656845,-5154109
Brad Silberling,12817948,7631264,-5186684
Stephen Hopkins,8807874,3516868,-5291006
Joel Schumacher,11175508,5801740,-5373768
Tom Shadyac,23636774,17940016,-5696758
Alexandre Aja,12766340,6927160,-5839180
Roman Polanski,7482610,1617557,-5865053
Edgar Wright,52705208,46823114,-5882094
Steven Brill,10874076,4947774,-5926302
Boaz Yakin,11923634,5902780,-6020854
Asghar Farhadi,11328631,5186348,-6142283
Rob Marshall,18356719,12131509,-6225210
Ron Underwood,8476810,2026345,-6450465
Raja Gosnell,11245935,4718410,-6527525
Eli Roth,13456261,6709523,-6746738
Robert Luketic,14412469,7656682,-6755787
Clint Eastwood,17155729,10074572,-7081157
John McTiernan,14009104,6832429,-7176675
Jean-Jacques Annaud,8348187,983874,-7364313
Kevin Macdonald,10083274,2498335,-7584939
Rob Zombie,10888665,3296057,-7592608
Adam Shankman,14795682,7015332,-7780350
Jeff Wadlow,13665031,5877907,-7787124
Mimi Leder,12828154,4860481,-7967673
Tim Story,14869552,6697164,-8172388
Neil Marshall,15590956,7205748,-8385208
Jonathan Levine,16804839,8361384,-8443455
Taylor Hackford,18676476,9783220,-8893256
Andrew Davis,18426562,9508892,-8917670
Jay Roach,20219442,11196076,-9023366
Mark Waters,12989513,3957596,-9031917
Kevin Reynolds,16677645,7381128,-9296517
McG,16022772,6662360,-9360412
Alejandro Amenábar,14757468,5248805,-9508663
Paul Thomas Anderson,22335707,12553710,-9781997
Gavin Hood,18329755,8466915,-9862840
Garry Marshall,17665700,7754872,-9910828
Andy Fickman,12980545,2783992,-10196553
Brian De Palma,13529426,3004809,-10524617
Brad Anderson,16938823,6293157,-10645666
Cameron Crowe,21571873,10131396,-11440477
Roger Kumble,14534736,2882335,-11652401
Bryan Singer,64552855,52890950,-11661905
Rawson Marshall Thurber,31352064,19247246,-12104818
Paul Greengrass,24969084,12539282,-12429802
Kevin Smith,17026357,4558899,-12467458
Anne Fletcher,17525432,4548236,-12977196
Neil Jordan,16993775,3652896,-13340879
Terrence Malick,15654297,2025479,-13628818
Michael Bay,32333600,17899376,-14434224
Mark Steven Johnson,19392497,3327313,-16065184
Mel Gibson,63231576,46586883,-16644693
Jan de Bont,27848899,11138299,-16710600
Roger Michell,18137832,1013754,-17124078
Joe Wright,31799795,14558693,-17241102
Andrew Niccol,24689456,6775515,-17913941
Gary Ross,44806992,26561846,-18245146
Simon West,20352796,2010140,-18342656
Richard Linklater,23684855,5236397,-18448458
Paul Verhoeven,25532535,6666443,-18866092
Renny Harlin,22330084,3167974,-19162110
Tate Taylor,28837934,8915260,-19922674
Will Gluck,28018280,8011922,-20006358
Oliver Hirschbiegel,23506824,2553318,-20953506
M. Night Shyamalan,63425780,41688453,-21737327
David Frankel,28108851,6359854,-21748997
Gabriele Muccino,23967194,1696807,-22270387
Rob Reiner,23508285,1144800,-22363485
Darren Lynn Bousman,23333548,654401,-22679147
Sam Mendes,81433948,57804609,-23629339
Danny Boyle,39079590,15389890,-23689700
Brad Bird,52015300,27066648,-24948652
Hayao Miyazaki,39913219,14019962,-25893257
David Yates,59475104,33020146,-26454958
Tom Hooper,40411835,13938352,-26473483
Sofia Coppola,32821930,6208800,-26613130
Michael Mann,45998680,19201912,-26796768
Harold Ramis,34700636,7873487,-26827149
Pierre Morel,35145084,6608793,-28536291
Francis Ford Coppola,31289151,2677793,-28611358
Tim Burton,42595095,13438112,-29156983
Judd Apatow,41573399,11635794,-29937605
Darren Aronofsky,57223281,25797716,-31425565
Chris Columbus,44088491,12263572,-31824919
Francis Lawrence,60275481,27989865,-32285616
Terry Gilliam,41351575,7377996,-33973579
Jason Reitman,38420341,4198261,-34222080
Martin Scorsese,66799809,26797926,-40001883
Guy Ritchie,76849899,34797400,-42052499
Robert Zemeckis,48130250,5536536,-42593714
Luc Besson,58955900,16094113,-42861787
Marc Webb,63539244,18812606,-44726638
Jean-Pierre Jeunet,50469486,3976260,-46493226
David Fincher,115657340,64295536,-51361804
Steven Spielberg,87140281,33550514,-53589767
Michel Gondry,61643290,4290492,-57352798
Jonathan Demme,90686309,2768110,-87918199
Quentin Tarantino,165260934,77089203,-88171731
